	variable1	variable2	correlation	pvalue	support	corrected pvalue
	OTU_33	OTU_43	0.38386339335749	0.00844901409407806	46	0.1115
	OTU_33	OTU_7	-0.712603385907128	1.44453512835874e-05	29	0.0015
	OTU_33	OTU_28	-0.414728507934008	0.0132432871542563	35	0.1459
	OTU_33	OTU_397	0.590044970879623	0.0161285757025518	16	0.1621
	OTU_33	OTU_93	0.44383364637811	0.0385308661108483	22	0.26
	OTU_33	OTU_34	0.690583698960219	9.42420380645181e-05	26	0.0055
	OTU_18	OTU_24	-0.434709301761321	0.0264695543413804	26	0.2121
	OTU_18	OTU_7	-0.476611334840597	0.0138306126594179	26	0.1477
	OTU_18	OTU_8	-0.398433420408071	0.0485260107872834	25	0.2966
	OTU_18	OTU_34	0.49786230509146	0.0183794795246768	22	0.1704
	OTU_6	OTU_24	-0.505714166654297	0.00839840549781501	26	0.1115
	OTU_6	OTU_538	0.456075477725764	0.0128971636512847	29	0.1444
	OTU_6	OTU_43	0.364081123818089	0.0267423480265299	37	0.2121
	OTU_6	OTU_3	-0.422586442022059	0.0280946527729828	27	0.2184
	OTU_6	OTU_44	0.504968368959591	0.0274418861197854	19	0.2164
	OTU_26	OTU_538	-0.511045367596365	0.00762930314169319	26	0.109
	OTU_26	OTU_25	0.644401323450546	0.0174325713432415	13	0.1667
	OTU_24	OTU_43	-0.424179855038426	0.0173969889319494	31	0.1667
	OTU_24	OTU_28	0.609711216793537	0.000943870507051914	26	0.0328
	OTU_24	OTU_34	-0.506881027267878	0.0225527410877984	20	0.1887
	OTU_101	OTU_538	-0.691690386465942	0.0267010050769647	10	0.2121
	OTU_101	OTU_25	0.619464853076013	0.018147427257011	14	0.1704
	OTU_538	OTU_43	0.692070385091978	1.14529555310661e-05	32	0.0014
	OTU_538	OTU_25	-0.791218129475205	0.0110880161029476	9	0.1289
	OTU_538	OTU_29	-0.489845170509919	0.0459389534186214	17	0.2898
	OTU_538	OTU_13	-0.522520927786271	0.00880613564456789	24	0.1133
	OTU_538	OTU_3	-0.40700693004214	0.0483944438899495	24	0.2966
	OTU_43	OTU_28	-0.359465727024108	0.033933384050983	35	0.2455
	OTU_43	OTU_93	0.50236098428019	0.0202982284208133	21	0.1791
	OTU_43	OTU_34	0.485783789956668	0.0138214349980104	25	0.1477
	OTU_25	OTU_7	0.486840862756068	0.0474929019436054	17	0.2955
	OTU_25	OTU_88	0.628421795393838	0.0160874076727249	14	0.1621
	OTU_64	OTU_36	-0.746057149508963	0.0132148849120464	10	0.1459
	OTU_64	OTU_34	0.68612307315293	0.00473729909167497	15	0.0823
	OTU_29	OTU_397	0.776022056084769	0.00831835660280689	10	0.1115
	OTU_92	OTU_51	0.882719415809196	0.0198255214390035	6	0.1784
	OTU_8	OTU_28	0.475845242607859	0.0104836814788911	28	0.1245
	OTU_32	OTU_3	-0.653606937499625	0.0153988718361853	13	0.1601
	OTU_28	OTU_93	-0.634655599249989	0.00826667677691595	16	0.1115
	OTU_28	OTU_36	0.421066951147718	0.0454042085854935	23	0.2877
	OTU_28	OTU_34	-0.660253598991751	0.00209365077255974	19	0.0542
	OTU_93	OTU_36	-0.568506065146503	0.0338971556310943	14	0.2455
	OTU_36	OTU_34	-0.675498789946122	0.00292088048837602	17	0.0657
	OTU_34	OTU_3	-0.550741743799916	0.00646169566081256	23	0.0943
	OTU_34	OTU_22	-0.595694825986235	0.0148959788939962	16	0.1572
	OTU_3	OTU_22	0.627044177677037	0.00535024788422689	18	0.0841
	OTU_3	OTU_44	-0.483422975419568	0.0493084828474453	17	0.2974
